idx,abstract,context,entities,id,info,title
39,,"<td colspan=2><strong_blue>Mentions of the entities: </strong_blue>[...] The mayor certainly knew how to grab a headline, and from the moment he signed up with <strong>Mr. <strong>Gore</strong></strong>, he did precisely that, even if the result was that the endorser soon loomed large over the endorsee.'' Every time we were together, I would raise the issue of <strong>Jesse [Edward Koch]</strong>,'' <strong>Mr. Koch</strong> says. [...]</td>",<th>Al Gore</th><th>Edward Koch</th>,22456_1171836_44_45,"<td>Albert Arnold Gore Jr. is an American politician and environmentalist who served as the 45th vice president of the United States from 1993 to 2001. Gore was Bill Clinton's running mate in their successful campaign in 1992, and the pair was re-elected in 1996. Near the end of Clinton's second term, Gore was selected as the Democratic nominee for the 2000 presidential election but lost the election in a very close race after a Florida recount.</td><td>Edward Irving Koch was an American lawyer, politician, political commentator, movie critic and television personality. He served in the United States House of Representatives from 1969 to 1977 and was mayor of New York City from 1978 to 1989.</td>","<td colspan=2><strong_blue>Title of the article: </strong_blue>For Gore, a Bitter Lesson From the Campaign Trail (2000/01/27)</td>"
40,,"<td colspan=2><strong_blue>Mentions of the entities: </strong_blue>Indonesia 's most prominent general denied today that he was responsible for human rights abuses in East Timor and sidestepped a suggestion by <strong>President Abdurrahman Wahid</strong> that he resign.'' As a soldier, I am going to continue to fight to reveal the truth,'' the general, <strong>Wiranto</strong>, declared, relaxed and smiling at a news conference. [...]</td>",<th>Abdurrahman Wahid</th><th>Wiranto</th>,457_1173258_1_2,"<td>Abdurrahman Wahid AHB-doo-RAHKH-mahn wah-HEED; born Abdurrahman ad-Dakhil; 7 September 1940 – 30 December 2009), colloquially known as Gus Dur , was an Indonesian Muslim religious and political leader who served as the President of Indonesia from 1999 to 2001. The long-time president of the Nahdlatul Ulama and the founder of the National Awakening Party , Wahid was the first elected president of Indonesia after the resignation of Suharto in 1998.</td><td>Wiranto is a retired Indonesian army General. He was the Commander of the Indonesian National Armed Forces from February 1998 to October 1999 during Indonesia's transition from authoritarian rule to democracy. He ran unsuccessfully for President of Indonesia in 2004 and for the vice-presidency in 2009.</td>",<td colspan=2><strong_blue>Title of the article: </strong_blue>Indonesian General Denies Guilt in Timor Abuses (2000/02/02)</td>
41,,"<td colspan=2><strong_blue>Mentions of the entities: </strong_blue>[...] I asked the vice president to intercede on <strong>Elian 's [Elian Gonzalez]</strong> behalf, and he did,'' <strong>Mr. Penelas</strong> said earlier today. [...]</td>",<th>Alex Penelas</th><th>Elian Gonzalez</th>,5324_1166913_10_10,"<td>Alexander Penelas is the former mayor of Miami-Dade County, Florida.</td><td>Elián González is a Cuban citizen who, as a young boy in 2000, became embroiled in a heated international custody and immigration controversy involving the governments of Cuba and the United States, his father, Juan Miguel González Quintana, his other relatives in Cuba and in Miami, Florida, and Miami's Cuban American community.</td>",<td colspan=2><strong_blue>Title of the article: </strong_blue>Boy's Transfer Is Complicated By Question of Guardianship (2000/01/08)</td>
42,,<td colspan=2><strong_blue>Mentions of the entities: </strong_blue>[...] <strong>Mr. Blix</strong> is <strong>a man of unquestioned integrity and tact [Hans Blix]</strong>. But <strong>he [Hans Blix]</strong> seems unlikely to provide the forceful leadership needed to keep <strong>Saddam Hussein</strong> from cheating on <strong>his [Saddam Hussein]</strong> arms control obligations and building fearsome unconventional weapons. [...]</td>,<th>Hans Blix</th><th>Saddam Hussein</th>,1900_1171717_2_3,"<td>Hans Martin Blix is a Swedish diplomat and politician for the Liberal People's Party. He was Swedish Minister for Foreign Affairs and later became the head of the International Atomic Energy Agency. As such, Blix was the first Western representative to inspect the consequences of the Chernobyl disaster in the Soviet Union on site, and led the agency response to them. Blix was also the head of the United Nations Monitoring, Verification and Inspection Commission from March 2000 to June 2003, when he was succeeded by Dimitris Perrikos.</td><td>Saddam Hussein Abd al-Majid al-Tikriti was President of Iraq from 16 July 1979 until 9 April 2003. A leading member of the revolutionary Arab Socialist Ba'ath Party, and later, the Baghdad-based Ba'ath Party and its regional organization the Iraqi Ba'ath Party—which espoused Ba'athism, a mix of Arab nationalism and socialism—Saddam played a key role in the 1968 coup that brought the party to power in Iraq.</td>",<td colspan=2><strong_blue>Title of the article: </strong_blue>A Disappointing Choice on Iraq (2000/01/27)</td>
43,,<td colspan=2><strong_blue>Abstract of the article: </strong_blue>Howard Goldberg column speculates on what may come from decision by Kip and Susan Bedell to sell Bedell Cellars to Michael Lynne and have Kip Bedell remain as winemaker for five years (Long Island Vines column)</td>,<th>Kip Bedell</th><th>Michael Lynne</th>,2052_1174196,"<td>Kepler 1625b I, a possible moon of exoplanet Kepler-1625b, may be the first exomoon ever discovered , and was first indicated after preliminary observations by the Kepler Space Telescope. A more thorough observing campaign by the Hubble Space Telescope took place in October 2017, ultimately leading to a discovery paper published in ""Science Advances"" in early October 2018. Studies related to the discovery of this moon suggest that the host exoplanet is up to several Jupiter masses in size, and the moon is thought to be approximately the mass of Neptune.</td><td>Michael Lynne was an American film executive.</td>",<td colspan=2><strong_blue>Title of the article: </strong_blue>The Benefits of Strong Financial Backing (2000/02/06)</td>
44,,"<td colspan=2><strong_blue>Mentions of the entities: </strong_blue>[...] In Mr. Verney 's view, trouble started at last year 's Reform Party convention in Dearborn, Mich., when the newly elected governor threatened to abandon the party if <strong>Mr. Gargan</strong> was not elected to succeed Mr. Verney as chairman. <strong>Perot</strong> loyalists at the time were supporting another candidate, Patricia Benjamin of New Jersey. [...]</td>",<th>Jack Gargan</th><th>Ross Perot</th>,7458_1168008_32_33,"<td>No information found.</td><td>Henry Ross Perot is an American business magnate, billionaire, philanthropist, and former politician. He is the founder and former chief executive officer of Electronic Data Systems and Perot Systems. He ran an independent presidential campaign in 1992 and a third party campaign in 1996, establishing the Reform Party in the latter election. Both campaigns were among the strongest presidential showings by a third party or independent candidate in U.S. history.</td>","<td colspan=2><strong_blue>Title of the article: </strong_blue>Fractured by Internal Conflict, Reform Party Struggles to Hold Together (2000/01/12)</td>"
45,,"<td colspan=2><strong_blue>Mentions of the entities: </strong_blue>[...] Still, <strong>Mr. <strong>Stepashin</strong></strong> and <strong>his [Sergei Stepashin]</strong> fellow former prime ministers -- Yevgeny M. Primakov, Viktor S. Chernomyrdin and Sergei V. Kiriyenko -- made their case for the limited approach when they met with <strong>Mr. Putin</strong> in early September. [...]</td>",<th>Sergei Stepashin</th><th>Vladimir Putin</th>,1516_1173072_32_32,"<td>Colonel General Sergei Vadimovich Stepashin is a Russian politician who briefly served as Prime Minister of Russia in 1999. Prior to this he had been appointed as federal security minister by President Boris Yeltsin in 1994, a position from which he resigned from in 1995 as a consequence of the Budyonnovsk hospital hostage crisis. Subsequent to his tenure as Prime Minister he served as Chairman of the Accounts Chamber of Russia from 2000 until 2013.</td><td>Vladimir Vladimirovich Putin is a Russian politician and former intelligence officer serving as President of Russia since 2012, previously holding the position from 2000 until 2008. In between his presidential terms, he was also the Prime Minister of Russia under his close associate Dmitry Medvedev.</td>",<td colspan=2><strong_blue>Title of the article: </strong_blue>A Look at How the Kremlin Slid Into the Chechen War (2000/02/01)</td>
46,,"<td colspan=3><strong_blue>Mentions of the entities: </strong_blue>[...] For <strong>Mrs. <strong>Clinton</strong></strong>, visiting <strong>Mr. Sharpton</strong> carried definite political risks, and had been resisted by some of <strong>her [Hillary Clinton]</strong> advisers. For all Mr. <strong>Sharpton 's [Al Sharpton]</strong> influence among black voters -- as evidenced by the procession of senior Democratic elected officials who stopped by to pay tribute to <strong>him [Al Sharpton]</strong> yesterday -- <strong>he [Al Sharpton]</strong> remains a highly unpopular figure among many white voters, and is frequently a target of <strong>Mr. Giuliani 's [Rudolph Giuliani]</strong> attacks. [...]</td>",<th>Al Sharpton</th><th>Hillary Clinton</th><th>Rudolph Giuliani</th>,13168_1169586_17_18,"<td>Alfred Charles Sharpton Jr. is an American civil rights activist, Baptist minister, television/radio talk show host and a former White House adviser for President Barack Obama. In 2004, he was a candidate for the Democratic nomination for the U.S. presidential election. He hosts his own radio talk show, Keepin' It Real, and he makes regular guest appearances on cable news television. In 2011, he was named the host of MSNBC's PoliticsNation, a nightly talk show.</td><td>Hillary Rodham Clinton is an American politician, diplomat, lawyer, writer, and public speaker. She was First Lady of the United States from 1993 to 2001, the United States senator from New York from 2001 to 2009, and the 67th United States secretary of state from 2009 to 2013. Clinton was the Democratic Party nominee for president of the United States in the 2016 election, the first woman nominated by a major U.S. political party.</td><td>Rudolph William Louis Giuliani is an American politician, attorney, businessman, and public speaker who served as the 107th Mayor of New York City from 1994 to 2001. He currently acts as an attorney to President Donald Trump. Politically a Democrat, then an Independent in the 1970s, and a Republican since the 1980s, Giuliani served as United States Associate Attorney General from 1981 to 1983. That year he became the United States Attorney for the Southern District of New York, holding the position until 1989.</td>","<td colspan=3><strong_blue>Title of the article: </strong_blue>On Dr. King's Day, Mrs. Clinton Sees Race Intersect Politics (2000/01/18)</td>"
47,,"<td colspan=2><strong_blue>Abstract of the article: </strong_blue>New York City Human Resources Comr Jason A Turner announces end of city's arrangement with company called Psychic Network, in which city was recruiting welfare recipients to work from home as telephone psychics for company; decision to part company with Psychic Network comes same day newspaper article appeared on arrangement; since April, 15 welfare recipients have been trained o read tarot cards and hired by Psychic Netowrk; Stephen DiBrienza, chairman of City Council's Committee on General Welfare and vigorous opponent of mayor's welfare policy, says it is bizarre that taxpayer funds were used for this type of training</td>",<th>Jason Turner</th><th>Rudolph Giuliani</th>,1303_1172245,"<td>No information found.</td><td>Rudolph William Louis Giuliani is an American politician, attorney, businessman, and public speaker who served as the 107th Mayor of New York City from 1994 to 2001. He currently acts as an attorney to President Donald Trump. Politically a Democrat, then an Independent in the 1970s, and a Republican since the 1980s, Giuliani served as United States Associate Attorney General from 1981 to 1983. That year he became the United States Attorney for the Southern District of New York, holding the position until 1989.</td>",<td colspan=2><strong_blue>Title of the article: </strong_blue>New York Drops Psychic Training Program (2000/01/29)</td>
48,,"<td colspan=4><strong_blue>Mentions of the entities: </strong_blue>[...] A little more than a week later, <strong>Mr. Portillo</strong> has moved to make good on <strong>his [Alfonso Portillo]</strong> promise. On Friday, the police arrested father and son military officers, retired <strong>Col. Byron Disrael Lima Estrada</strong>, 58, and Capt. Byron Lima Oliva, 30, and charged them with homicide in the death of <strong>Bishop Juan Jose Gerardi</strong>. The officers' arrest is a victory for human rights groups in Guatemala, which conducted their own investigation of the killing and have long pointed to the Limas as suspects. As he was led away in handcuffs by police officers, <strong>Captain Lima Oliva</strong> said he was innocent and called the evidence against him groundless.'' [...]</td>",<th>Alfonso Portillo</th><th>Byron Disrael Lima Estrada</th><th>Byron Oliva</th><th>Juan Gerardi</th>,17943_1170910_2_5,"<td>Alfonso Antonio Portillo Cabrera is a Guatemalan politician who served as President of Guatemala from 2000 to 2004.</td><td>Monsignor Juan José Gerardi Conedera was a Guatemalan Roman Catholic bishop and human rights defender who was long active in working with the indigenous Mayan peoples of the country. In the 1970s he gained government recognition of indigenous languages as official languages, and helped secure permission for radio stations to broadcast in indigenous languages. In 1988 he was appointed to the government's National Reconciliation Commission to begin the process of accounting for abuses during the civil war.</td><td>Monsignor Juan José Gerardi Conedera was a Guatemalan Roman Catholic bishop and human rights defender who was long active in working with the indigenous Mayan peoples of the country. In the 1970s he gained government recognition of indigenous languages as official languages, and helped secure permission for radio stations to broadcast in indigenous languages. In 1988 he was appointed to the government's National Reconciliation Commission to begin the process of accounting for abuses during the civil war.</td><td>Monsignor Juan José Gerardi Conedera was a Guatemalan Roman Catholic bishop and human rights defender who was long active in working with the indigenous Mayan peoples of the country. In the 1970s he gained government recognition of indigenous languages as official languages, and helped secure permission for radio stations to broadcast in indigenous languages. In 1988 he was appointed to the government's National Reconciliation Commission to begin the process of accounting for abuses during the civil war.</td>",<td colspan=4><strong_blue>Title of the article: </strong_blue>Arrests in Bishop's Killing Follow Guatemalan Pledge (2000/01/23)</td>
49,,"<td colspan=2><strong_blue>Abstract of the article: </strong_blue>Interview with US Sen Bob Kerrey, who has announced plans to leave Senate (Public Lives)</td>",<th>Congress</th><th>Senate</th>,212_1172901,"<td>A congress is a formal meeting of the representatives of different countries, constituent states, organizations, trade unions, political parties or other groups. The term, originally denoting a parley during battle in the Late Middle Ages, is derived from the Latin congressus. </td><td>A senate is a deliberative assembly, often the upper house or chamber of a bicameral legislature. The name comes from the ancient Roman Senate , so-called as an assembly of the senior and therefore allegedly wiser and more experienced members of the society or ruling class. Thus, the literal meaning of the word ""senate"" is Assembly of Elders.</td>","<td colspan=2><strong_blue>Title of the article: </strong_blue>One Last Campaign, and Then It's Goodbye to All That (2000/01/31)</td>"
50,,"<td colspan=2><strong_blue>Mentions of the entities: </strong_blue>[...] While Davenport and Capriati played indoors, with the roof closed above Rod Laver Arena, the weather had improved enough for Hings and <strong>Martinez</strong> to play with the roof open. But whatever the conditions, facing <strong>Hingis</strong> at Melbourne Park is a difficult task. [...]</td>",<th>Conchita Martinez</th><th>Martina Hingis</th>,1875_1171849_9_10,"<td>Conchita Martínez Bernat is a former professional tennis player. She was the first Spanish player to win the women's singles title at Wimbledon, where she beat Martina Navratilova in the 1994 final. Martínez also was the singles runner-up at the 1998 Australian Open and the 2000 French Open. She reached a highest world ranking of No. 2 in October 1995 and finished the season in the top 10 for nine years. Martínez won 33 singles and 13 doubles titles during her 18-year career.</td><td>Martina Hingis is a Swiss former professional tennis player. She spent a total of 209 weeks as the singles world No. 1 and 90 weeks as doubles world No. 1, holding both No. 1 rankings simultaneously for 29 weeks. She won five Grand Slam singles titles, thirteen Grand Slam women's doubles titles, winning a calendar-year doubles Grand Slam in 1998, and seven Grand Slam mixed doubles titles; for a combined total of twenty-five major titles.</td>",<td colspan=2><strong_blue>Title of the article: </strong_blue>Davenport Puts an End To Capriati's Title Bid (2000/01/27)</td>
51,,"<td colspan=3><strong_blue>Mentions of the entities: </strong_blue>[...] So low are <strong>Zimbabwe 's [Zimbabwe]</strong> reserves of dollars and other foreign currencies that the country can no longer afford to import diesel fuel, which is in scarce supply. Zambia Landlocked and abutted by several troubled lands, Zambia has long sought to cast itself as an island of stability in Central Africa 's turbulence. Like former President Kenneth D. Kaunda, President Frederick Chiluba, in power since 1991, has acted as a broker in the wars that have consumed the region from the independence struggles of the 1970 's to the present-day conflagrations in <strong>Angola</strong> and <strong>Congo</strong>. [...]</td>",<th>Angola</th><th>Congo</th><th>Zimbabwe</th>,34169_1174493_203_205,"<td>Angola ; Portuguese: [ɐ̃ˈɡɔlɐ]), officially the Republic of Angola , is a west-coast country of south-central Africa. It is the seventh-largest country in Africa, bordered by Namibia to the south, the Democratic Republic of the Congo to the north, Zambia to the east, and the Atlantic Ocean to the west. Angola has an exclave province, the province of Cabinda that borders the Republic of the Congo and the Democratic Republic of the Congo. The capital and largest city of Angola is Luanda.</td><td>(related article) The Democratic Republic of the Congo , also known as DR Congo, the DRC, DROC, Congo-Kinshasa, East Congo, or simply the Congo, is a country located in Central Africa. It is sometimes anachronistically referred to by its former name of Zaire, which was its official name between 1971 and 1997. It is, by area, the largest country in Sub-Saharan Africa, the second largest in all of Africa , and the 11th-largest in the world.</td><td>Zimbabwe , officially the Republic of Zimbabwe, is a landlocked country located in southern Africa, between the Zambezi and Limpopo Rivers, bordered by South Africa, Botswana, Zambia and Mozambique. The capital and largest city is Harare. A country of roughly 16 million people, Zimbabwe has 16 official languages, with English, Shona, and Ndebele the most commonly used.</td>",<td colspan=3><strong_blue>Title of the article: </strong_blue>CHAOS IN CONGO: A primer.; Many Armies Ravage Rich Land In the 'First World War' of Africa (2000/02/06)</td>
52,,"<td colspan=3><strong_blue>Mentions of the entities: </strong_blue>[...] <strong><strong>Parcells</strong>, who consulted with the Jets' owner, Robert Wood Johnson IV [Bill Parcells]</strong>, said that <strong><strong>he [Bill Parcells]</strong> and <strong>Kraft</strong></strong> only briefly negotiated that night, with the Jets adamant in <strong>their [Robert Kraft]</strong> demand for a first-round pick and the Patriots not offering it. By Wednesday, <strong>Parcells</strong> was convinced that a deal could not be done, that <strong>Kraft</strong> would end up hiring someone else and that <strong>Belichick</strong> would likely be out of coaching for a year and the Jets would lose <strong>his [Bill Parcells]</strong> rights with no compensation. [...]</td>",<th>Bill Belichick</th><th>Bill Parcells</th><th>Robert Kraft</th>,1947_1172000_15_16,"<td>William Stephen Belichick is an American football coach who serves as the head coach of the New England Patriots of the National Football League . His extensive authority over the Patriots' football operations effectively makes him the general manager of the team as well. He holds numerous coaching records, including winning a record six Super Bowls as the head coach of the New England Patriots, and two more as defensive coordinator for the New York Giants.</td><td>Duane Charles ""Bill"" Parcells , also known as The Big Tuna, is a former American football coach, best known as a head coach in the National Football League for 19 seasons. He rose to prominence as the head coach of the New York Giants, whom he led to two Super Bowl titles. Parcells later served as the head coach of the New England Patriots, New York Jets, and Dallas Cowboys. Throughout his career, he coached teams that were in a period of decline and turned them into postseason contenders.</td><td>Robert Kenneth Kraft is an American businessman. He is the chairman and chief executive officer of the Kraft Group, a diversified holding company with assets in paper and packaging, sports and entertainment, real estate development and a private equity portfolio. He is the owner of the National Football League's New England Patriots, Major League Soccer's New England Revolution, and Gillette Stadium, where both teams play. He also owns the Boston Uprising, the first eSports team in New England.</td>","<td colspan=3><strong_blue>Title of the article: </strong_blue>Patriots Hire Belichick, and Everyone's Happy (2000/01/28)</td>"
53,,"<td colspan=2><strong_blue>Abstract of the article: </strong_blue>Bob Dole takes out ad in Des Moines Register criticizing, in disguised way, television commercials for Steve Forbes that attack George W Bush (Political Briefing)</td>",<th>George Bush</th><th>Steve Forbes</th>,6_1169248,"<td>George Walker Bush is an American politician and businessman who served as the 43rd president of the United States from 2001 to 2009. He had previously served as the 46th governor of Texas from 1995 to 2000.</td><td>Malcolm Stevenson ""Steve"" Forbes Jr. is an American publishing executive, who was twice a candidate for the nomination of the Republican Party for President of the United States. Forbes is the Editor-in-Chief of Forbes, a business magazine. Forbes was a Republican candidate in the 1996 and 2000 Presidential primaries. Forbes is the son of longtime Forbes publisher Malcolm Forbes, and the grandson of that publication's founder, B.C. Forbes. He is an adviser at the Forbes School of Business & Technology.</td>","<td colspan=2><strong_blue>Title of the article: </strong_blue>Political Briefing; In Iowa, Dole Offers Assault on Attacks (2000/01/16)</td>"
54,,<td colspan=2><strong_blue>Mentions of the entities: </strong_blue>[...] <strong>Mr. Zuckerman</strong> said yesterday:'' <strong>Fred Drasner</strong> and I have worked together for 25 years. [...]</td>,<th>Fred Drasner</th><th>Mortimer Zuckerman</th>,15782_1169976_26_26,"<td>No information found.</td><td>Mortimer Benjamin Zuckerman is a Canadian-born American media proprietor, magazine editor, and investor. He is the co-founder, executive chairman and former CEO of Boston Properties, one of the largest real estate investment trusts in the United States. Zuckerman is also the owner and publisher of U.S. News & World Report, where he serves as editor-in-chief. He formerly owned the New York Daily News The Atlantic and Fast Company. On the Forbes 2016 list of the world's billionaires, he was ranked No. 688 with a net worth of US$2.5 billion.</td>",<td colspan=2><strong_blue>Title of the article: </strong_blue>Changes at Daily News Raise Questions About Partners (2000/01/20)</td>
55,,"<td colspan=2><strong_blue>Mentions of the entities: </strong_blue>[...] <strong>Bradley Dean</strong> finished it. The words are <strong>Thoreau 's [Henry Thoreau]</strong>, but the editorial judgments are Dean 's. [...]</td>",<th>Bradley Dean</th><th>Henry Thoreau</th>,24668_1172316_9_10,"<td>Bradley Dean is an American stage and screen actor.</td><td>Henry David Thoreau was an American essayist, poet, philosopher, abolitionist, naturalist, tax resister, development critic, surveyor, yogi, and historian. A leading transcendentalist, Thoreau is best known for his book Walden, a reflection upon simple living in natural surroundings, and his essay ""Civil Disobedience"" , an argument for disobedience to an unjust state.</td>",<td colspan=2><strong_blue>Title of the article: </strong_blue>Thoreau's Fruits (2000/01/30)</td>
56,,"<td colspan=2><strong_blue>Abstract of the article: </strong_blue>Manhattan grand jury indicts Sean Combs, rap performer known as Puff Daddy, for possession of two illegal handguns as part of its investigation into shootings that wounded three people at Club New York on Dec 27; Comb's driver Wardel Fenderson apparently told investigators that he saw Combs throw gun out of window of car as they fled police; singer Jennifer Lopez, who was in car with Combs, says she is 'surprised and saddened' by indictment; Combs hires lawyers Benjamin Brafman and Johnnie L Cochran Jr to represent him</td>",<th>Jennifer Lopez</th><th>Sean Combs</th>,1374_1168583,"<td>Jennifer Lynn López is an American actress, singer, dancer, and producer. In 1991, López began appearing as a Fly Girl dancer on In Living Color, where she remained a regular until she decided to pursue an acting career in 1993. For her first leading role in the 1997 Selena biopic of the same name, López received a Golden Globe nomination and became the first Latin actress to earn over US$1 million for a film.</td><td>Sean John Combs , also known by the stage names Puff Daddy, P. Diddy, Puffy or Diddy, is an American rapper, singer, songwriter, record producer, record executive, actor and entrepreneur. Combs was born in New York City but was raised in Mount Vernon, New York. He worked as a talent director at Uptown Records before founding his own record label, Bad Boy Entertainment, in 1993.</td>",<td colspan=2><strong_blue>Title of the article: </strong_blue>Puffy Combs Is Indicted In Club Case (2000/01/14)</td>
57,,"<td colspan=2><strong_blue>Abstract of the article: </strong_blue>Michael Isikoff and Jeffrey Toobin are arguing about Toobin's portrayal of Isikoff in his new book, A Vast Conspiracy: The Real Story of the Sex Sandal That Nearly Brought Down a President; Isikoff claims Toobin paints him as vindictive enemy of Clinton's; Isikoff was first to discuss Clinton's relationship with Monica S Lewinsky; his book, Uncovering Clinton: A Reporter's Story, was published in 1999</td>",<th>Jeffrey Toobin</th><th>Michael Isikoff</th>,34306_1174628,"<td>Jeffrey Ross Toobin is an American lawyer, blogger, author, pundit, and legal analyst for CNN and The New Yorker. During the Iran–Contra affair, he served as an associate counsel in the Department of Justice, and moved from law into writing during the 1990s.</td><td>Michael R. Isikoff is an American investigative journalist who is currently the Chief Investigative Correspondent at Yahoo! News. He is the co-author with David Corn of the book entitled Russian Roulette: The Inside Story of Putin's War on America and the Election of Donald Trump, published on March 13, 2018.From July 2010 to April 2014, Isikoff was the national investigative correspondent for NBC News. He resigned from NBC, citing the network's move in a direction that left him with ""fewer opportunities"" for his work.</td>",<td colspan=2><strong_blue>Title of the article: </strong_blue>Reporters Square Off Over Clinton Scandal (2000/02/07)</td>
58,,"<td colspan=3><strong_blue>Abstract of the article: </strong_blue>Republican presidential aspirants hold debate in Iowa; photo; George W Bush's rivals, in determined drive to slow front-runner, question Bush's credentials as tax cutter and ridicule his centerpiece plan to pare taxes by $483 billion over five years; John McCain warns Bush's prescription favors wealthy Americans at expense of lower- and middle-income tax payers, and would also threaten future of Social Security</td>",<th>Gary Bauer</th><th>George Bush</th><th>Steve Forbes</th>,87_1169192,"<td>Gary Lee Bauer is an American politician and activist. </td><td>George Walker Bush is an American politician and businessman who served as the 43rd president of the United States from 2001 to 2009. He had previously served as the 46th governor of Texas from 1995 to 2000.</td><td>Malcolm Stevenson ""Steve"" Forbes Jr. is an American publishing executive, who was twice a candidate for the nomination of the Republican Party for President of the United States. Forbes is the Editor-in-Chief of Forbes, a business magazine. Forbes was a Republican candidate in the 1996 and 2000 Presidential primaries. Forbes is the son of longtime Forbes publisher Malcolm Forbes, and the grandson of that publication's founder, B.C. Forbes. He is an adviser at the Forbes School of Business & Technology.</td>",<td colspan=3><strong_blue>Title of the article: </strong_blue>McCain Leads the Way as Republican Rivals Attack Bush (2000/01/16)</td>
59,,"<td colspan=2><strong_blue>Mentions of the entities: </strong_blue>[...] He resisted opportunities to snipe back at his opponent, though a couple of times he corrected <strong>Mr. <strong>Bradley</strong></strong> and repeated his message of the last week, that <strong>Mr. Bradley</strong> is too theoretical and impractical for the rough world of politics. <strong>Mr. Bradley 's [Bill Bradley]</strong> goal was to raise questions about <strong>Mr. Gore 's [Al Gore]</strong> leadership qualities and to suggest that <strong><strong>he [Bill Bradley]</strong>, <strong>Mr. <strong>Bradley [Al Gore]</strong></strong></strong>, would be <strong>the true agent of change [Bill Bradley]</strong>. [...]</td>",<th>Al Gore</th><th>Bill Bradley</th>,2_1167395_18_19,"<td>Albert Arnold Gore Jr. is an American politician and environmentalist who served as the 45th vice president of the United States from 1993 to 2001. Gore was Bill Clinton's running mate in their successful campaign in 1992, and the pair was re-elected in 1996. Near the end of Clinton's second term, Gore was selected as the Democratic nominee for the 2000 presidential election but lost the election in a very close race after a Florida recount.</td><td>William Warren Bradley is an American politician and former professional basketball player. He served three terms as a Democratic U.S. Senator from New Jersey. He ran unsuccessfully for the Democratic Party's nomination for president in the 2000 election.</td>",<td colspan=2><strong_blue>Title of the article: </strong_blue>Gore Attacks Bradley on Agriculture Votes and Medicare (2000/01/09)</td>
60,,"<td colspan=4><strong_blue>Abstract of the article: </strong_blue>Article of motivational speaker Anthony Robbins' company Dreamlife, network of Internet sites focuses on personal and professional improvement; says company allowed about three dozen people, including notables such as Andre Agassi, Tom Brokaw and Bryant Gumbel, to buy in at low price; holds some minority investors filed this week with regulators for flexibility to sell their shares--even before Dreamlife's Web site gets going; says close look at company's own filings shows some reason for caution beyond usual Internet uncertainties; chart</td>",<th>Andre Agassi</th><th>Anthony Robbins</th><th>Bryant Gumbel</th><th>Tom Brokaw</th>,3911_1166830,"<td>Andre Kirk Agassi is an American retired professional tennis player and former world No. 1 whose career spanned from the late 1980s to the mid-2000s. Considered by numerous sources to be one of the greatest tennis players of all time, Agassi has also been called the greatest service returner ever to play the game and was described by the BBC upon his retirement as ""perhaps the biggest worldwide star in the sport's history"".</td><td>Anthony Jay Robbins is an American author, philanthropist, and life coach. Robbins is known for his infomercials, seminars, and self-help books including Unlimited Power and Awaken the Giant Within.In 2015 and 2016 Robbins was listed on the Worth Magazine Power 100 list. His seminars are organized through Robbins Research International.</td><td>Bryant Charles Gumbel is an American television journalist and sportscaster, best known for his 15 years as co-host of NBC's Today. He is the younger brother of sportscaster Greg Gumbel. Since 1995, he has hosted HBO's acclaimed investigative series Real Sports with Bryant Gumbel, which has been rated as ""flat out TV's best sports program"" by the Los Angeles Times. It won a Peabody Award in 2012.Gumbel was hired by NBC Sports in the fall of 1975 as co-host of its National Football League pre-game show GrandStand with Jack Buck.</td><td>Thomas John Brokaw is an American television journalist and author, best known for being the anchor and managing editor of NBC Nightly News for 22 years . He is the only person to have hosted all three major NBC News programs: The Today Show, NBC Nightly News, and, briefly, Meet the Press.</td>",<td colspan=4><strong_blue>Title of the article: </strong_blue>Motivating Investors; Anthony Robbins Makes An Internet Play (2000/01/08)</td>
61,,"<td colspan=2><strong_blue>Mentions of the entities: </strong_blue>[...] Instead, the contestants are five lesser-known figures with limited political bases: State Senator William L. Gormley, United States Representative <strong>Bob Franks</strong>, and the Essex County executive, James W. Treffinger, who are all moderates. Two conservatives are also running: <strong><strong>Murray Sabrin</strong>, a former Libertarian Party candidate for governor</strong>, and Brian T. Kennedy, a lawyer. [...]</td>",<th>Bob Franks</th><th>Murray Sabrin</th>,26665_1172892_22_23,<td>Robert Douglas Franks was an American Republican politician who served as a U.S. Representative from New Jersey.</td><td>Murray Sabrin is a professor of finance in the Anisfield School of Business at Ramapo College in New Jersey and was a candidate for US Senate in 2018.</td>,"<td colspan=2><strong_blue>Title of the article: </strong_blue>In New Jersey, Both Parties Find Tumult in Senate Primaries (2000/01/31)</td>"
